record_type,phase,component,pixel,row,col,x_um,y_um,value_nT,unit
B,neg-off,Bz,280,1,21,40.0,-93.33333333333333,2744.254413004829,nT
B,pos-off,Bx,277,1,22,46.666666666666686,-93.33333333333333,504.55355096423955,nT
B,pos-off,By,277,1,22,46.666666666666686,-93.33333333333333,1031.7922874673775,nT
B,pos-off,Bz,277,1,22,46.666666666666686,-93.33333333333333,-974.1688588454768,nT
B,neg-off,Bx,277,1,22,46.666666666666686,-93.33333333333333,-1029.1356043745725,nT
B,neg-off,By,277,1,22,46.666666666666686,-93.33333333333333,-1866.7223993565547,nT
B,neg-off,Bz,277,1,22,46.666666666666686,-93.33333333333333,1218.2721822770384,nT
B,pos-off,Bx,218,1,23,53.33333333333334,-93.33333333333333,334.96558297096533,nT
B,pos-off,By,218,1,23,53.33333333333334,-93.33333333333333,1358.3606135805755,nT
B,pos-off,Bz,218,1,23,53.33333333333334,-93.33333333333333,-1362.7229046298298,nT
B,neg-off,Bx,218,1,23,53.33333333333334,-93.33333333333333,-822.8151093840034,nT
