f_GHz,y_fit,y_model,residuals,baseline_raw
2.9084,0.9962121341987928,0.9996028832976063,-0.003390749098813428,0.07695548514841377
2.9086,0.9966962346147744,0.9995976743397442,-0.002901439724969812,0.0769588474757179
2.9088,1.0000110681411032,0.9995923491208971,0.0004187190202060709,0.07696222971317379
2.909,0.9989631785387236,0.9995869041348383,-0.000623725596114677,0.0769656318607832
2.9092,0.9979537250126862,0.9995813357381305,-0.0016276107254442618,0.07696905391854436
2.9094,0.9965967047028103,0.9995756401435081,-0.0029789354406978275,0.07697249588645816
2.9096,0.997336712616496,0.9995698134128788,-0.0022331007963827254,0.07697595776452504
2.9098,0.9981664540232188,0.9995638514499177,-0.0013973974266988654,0.07697943955274367
2.91,1.0003466735049715,0.999557749992227,0.0007889235127445104,0.07698294125111538
2.9102,1.000764028615968,0.9995515046030299,0.0012125240129381432,0.07698646285963928
2.9104,0.9969617959180272,0.9995451106623692,-0.0025833147443419247,0.07699000437831582
2.9106,0.9958351801868436,0.9995385633577726,-0.0037033831709289977,0.076993565807145
2.9108,0.9951200113943232,0.9995318576743507,-0.004411846280027554,0.07699714714612682
2.911,0.9958451843910137,0.999524988384283,-0.0036798039932693927,0.07700074839526083
2.9112,0.997791854578596,0.9995179500356532,-0.001726095457057264,0.07700436955454748
2.9114,0.9968572901330733,0.9995107369405817,-0.0026534468075083417,0.07700801062398632
2.9116,0.9939678256334827,0.9995033431626053,-0.005535517529122513,0.07701167160357825
2.9118,0.995694924820353,0.999495762503251,-0.0038008376828979618,0.07701535249332236
2.912,0.9939239967458486,0.9994879884877399,-0.005563991741891261,0.07701905329321912
2.9122,0.9959718732179674,0.9994800143497554,-0.0035081411317879896,0.07702277400326851
2.9124,0.9961678003577205,0.9994718330152094,-0.003304032657488909,0.0770265146234701
2.9126,0.9967877308208435,0.9994634370849206,-0.0026757062640770934,0.07703027515382432
2.9128,0.9967388135376332,0.9994548188161303,-0.0027160052784971356,0.07703405559433119
2.913,0.9973709956179853,0.9994459701027534,-0.0020749744847681217,0.07703785594499024
2.9132,0.9942363237963786,0.999436882454272,-0.005200558657893373,0.07704167620580238
2.9134,0.9961663492988502,0.9994275469731587,-0.003261197674308547,0.07704551637676671
2.9136,0.9947667957876147,0.9994179543307091,-0.004651158543094391,0.07704937645788368
2.9138,0.9984055533922859,0.9994080947411556,-0.0010025413488696788,0.07705325644915328
2.914,0.9950519359535266,0.9993979579339151,-0.00434602198038847,0.07705715635057464
2.9142,0.9939217678532318,0.9993875331238172,-0.005465765270585399,0.07706107616214952
2.9144,0.9963897859095978,0.9993768089791379,-0.002987023069540129,0.07706501588387615
