pair_id,left_dip_id_sorted,right_dip_id_sorted,left_center_x1_GHz,right_center_x1_GHz,left_center_x1_err_MHz,right_center_x1_err_MHz,pair_center_GHz,pair_center_minus_D_eff_MHz,splitting_GHz,splitting_MHz,zeeman_half_MHz,left_contrast,right_contrast,D_eff_GHz,variation,lab_axis,run_name,offset_mm
3,3,6,2.834492983647766,2.909127241710297,0.0596018517893653,0.0635482557794736,2.8718101126790314,0.3382726206981878,0.0746342580625309,74.63425806253099,37.317129031265495,0.0142373579323257,0.0134411839531051,2.871471840058333,Variation Along Y,y,0cm-0.0mm,-0.0
4,4,5,2.8444111669477,2.899942572713892,0.0318701063226397,0.040171342407472,2.872176869830796,0.7050297724626731,0.0555314057661915,55.53140576619153,27.765702883095766,0.0267622098411686,0.0211150670809724,2.871471840058333,Variation Along Y,y,0cm-0.0mm,-0.0
1,1,8,2.807903768512599,2.9336894913453024,0.0684252894172375,0.0915440993006984,2.8707966299289507,-0.8997052426953367,0.1257857228327035,125.7857228327035,62.89286141635175,0.0124328638758615,0.0092820309919438,2.871696335171646,Variation Along Z,z,6.8cm-0.5mm,-0.5
2,2,7,2.818881663586616,2.923999707997023,0.0290736072010808,0.043224046170437,2.8714406857918195,-0.2556493798264725,0.1051180444104069,105.11804441040697,52.55902220520348,0.0295462299624245,0.019579686990263,2.871696335171646,Variation Along Z,z,6.8cm-0.5mm,-0.5
3,3,6,2.832444092083822,2.911727704065665,0.0635744307413414,0.0619197938228093,2.872085898074744,0.3895629030976621,0.0792836119818427,79.28361198184275,39.64180599092138,0.0133010126373411,0.0137848284351457,2.871696335171646,Variation Along Z,z,6.8cm-0.5mm,-0.5
4,4,5,2.8431707609640338,2.901753492818105,0.0347055855577639,0.0400904012237566,2.8724621268910697,0.7657917194237029,0.0585827318540714,58.58273185407148,29.29136592703574,0.0247587770670738,0.0214377244099583,2.871696335171646,Variation Along Z,z,6.8cm-0.5mm,-0.5
1,1,8,2.8084986310110684,2.932921457111275,0.0804981215477689,0.1062200367839973,2.8707100440611715,-0.8949029130480568,0.1244228261002065,124.42282610020648,62.211413050103246,0.0122474956109701,0.0093119298702948,2.8716049469742195,Variation Along Z,z,6.8cm-0.4mm,-0.4
2,2,7,2.819320044879731,2.923458300769493,0.0352467680864102,0.0544063919164197,2.871389172824612,-0.2157741496073839,0.1041382558897625,104.13825588976256,52.06912794488128,0.028610397328241,0.0182076065922396,2.8716049469742195,Variation Along Z,z,6.8cm-0.4mm,-0.4
3,3,6,2.8328543053484583,2.910998458117155,0.0675266312371919,0.0770298298443439,2.8719263817328065,0.3214347585869248,0.0781441527686968,78.1441527686968,39.0720763843484,0.0147330687595617,0.0128001687393067,2.8716049469742195,Variation Along Z,z,6.8cm-0.4mm,-0.4
4,4,5,2.843437282271892,2.901351096284684,0.0392160022325188,0.0477858670074445,2.872394189278288,0.7892423040685159,0.0579138140127919,57.913814012791946,28.956907006395973,0.0254196401935517,0.0209412760997384,2.8716049469742195,Variation Along Z,z,6.8cm-0.4mm,-0.4
