rank,candidate_idx,perm,signs,alpha_deg,beta_deg,gamma_deg,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,success
58,372,"(3, 2, 1, 0)","(-1, 1, -1, -1)",-1.3103969562676085e-09,89.83846013854014,29.99999999956042,3.1593498759415977e-09,7.412074000161593e-23,3.0874049412768257e-15,0.9999960254875293,True
59,379,"(3, 2, 1, 0)","(1, -1, 1, 1)",-1.3103969562676085e-09,89.83846013854014,29.99999999956042,3.1593498759415977e-09,7.412074000161593e-23,3.0874049412768257e-15,0.9999960254875293,True
60,338,"(3, 1, 2, 0)","(-1, -1, 1, -1)",-1.1671729894711209e-09,89.83846013852738,29.999999998902076,3.1593498770006205e-09,7.411418438468268e-23,2.8115909472044866e-15,0.9999960254875286,True
61,187,"(1, 3, 2, 0)","(1, -1, 1, 1)",3.3145578745844303e-10,89.838460138507,30.000000001868102,3.1593498785892477e-09,1.6692215355948454e-22,6.0565693336060345e-15,0.9999960254875276,True
62,146,"(1, 2, 3, 0)","(-1, -1, 1, -1)",2.0474331593445353e-09,89.83846013850237,30.000000001988276,3.1593498789435896e-09,1.5008084416669891e-21,4.305604634972164e-15,0.9999960254875274,True
63,241,"(2, 1, 3, 0)","(-1, -1, -1, 1)",-1.8041733313747975e-09,89.83846013847821,29.99999999979886,3.159349880885131e-09,1.5008345063839636e-21,3.794299872214038e-15,0.9999960254875262,True
64,254,"(2, 1, 3, 0)","(1, 1, 1, -1)",-1.8041733313747975e-09,89.83846013847821,29.99999999979886,3.159349880885131e-09,1.5008345063839636e-21,3.794299872214038e-15,0.9999960254875262,True
65,82,"(0, 3, 2, 1)","(-1, -1, 1, -1)",29.999999999856097,89.83846013846434,-1.17002337703951e-11,3.1593498819433204e-09,6.670262876981587e-22,5.2435760190342124e-15,0.9999960254875255,True
66,239,"(2, 1, 0, 3)","(1, 1, 1, 1)",-3.1339910071324946e-10,89.8384601384502,-4.5413121917497266e-10,3.1593498830018423e-09,1.6678359614406552e-22,3.365032081624177e-15,0.9999960254875249,True
67,0,"(0, 1, 2, 3)","(-1, -1, -1, -1)",-5.44907236221876e-10,89.83846013839641,29.99999999878687,3.159349887237786e-09,1.8530201620864484e-23,1.2883690548140876e-15,0.9999960254875222,True
68,151,"(1, 2, 3, 0)","(-1, 1, 1, 1)",30.000000000728022,89.83846013836819,-3.6407267147429946e-09,3.159349889534559e-09,2.241974330666479e-21,4.2227412161335776e-15,0.9999960254875208,True
69,238,"(2, 1, 0, 3)","(1, 1, 1, -1)",30.00000000099864,89.83846013833626,7.010684494878563e-10,3.1593498920070024e-09,3.631591470681105e-21,6.710499981846814e-15,0.9999960254875192,True
70,194,"(2, 0, 1, 3)","(-1, -1, 1, -1)",6.700025948065868e-10,89.8384601382277,29.999999997731575,3.1593499004756274e-09,7.41292921008693e-23,2.8780270159990897e-15,0.9999960254875139,True
71,205,"(2, 0, 1, 3)","(1, 1, -1, 1)",6.700025948065868e-10,89.8384601382277,29.999999997731575,3.1593499004756274e-09,7.41292921008693e-23,2.8780270159990897e-15,0.9999960254875139,True
72,285,"(2, 3, 1, 0)","(1, 1, -1, 1)",1.6584940987863214e-10,89.83846013821973,-3.1785693639497824e-10,3.159349901005528e-09,4.632144790227611e-22,3.9157992600787666e-15,0.9999960254875135,True
73,68,"(0, 3, 1, 2)","(-1, 1, -1, -1)",30.00000000036003,89.8384601381072,1.67493508910227e-09,3.1593499098305517e-09,2.965155210681321e-22,4.189529226675416e-15,0.999996025487508,True
74,129,"(1, 2, 0, 3)","(-1, -1, -1, 1)",-2.963911563834666e-11,89.8384601379845,30.000000000902364,3.159349919538632e-09,6.670266433068692e-22,3.9885705361641875e-15,0.9999960254875019,True
75,45,"(0, 2, 1, 3)","(1, 1, -1, 1)",-2.793494455380001e-10,89.8384601379282,-9.769526257918952e-10,3.15934992395056e-09,2.756242668685043e-28,2.0986837273595995e-15,0.9999960254874991,True
76,49,"(0, 2, 3, 1)","(-1, -1, -1, 1)",-9.759640188962819e-09,89.83846013787561,29.999999995114113,3.1593499280110555e-09,9.079229329991565e-22,4.078212527371479e-15,0.9999960254874966,True
77,62,"(0, 2, 3, 1)","(1, 1, 1, -1)",-9.759640188962819e-09,89.83846013787561,29.999999995114113,3.1593499280110555e-09,9.079229329991565e-22,4.078212527371479e-15,0.9999960254874966,True
78,130,"(1, 2, 0, 3)","(-1, -1, 1, -1)",1.3624513174240467e-09,89.83846013786413,4.905600144649729e-10,3.1593499288929633e-09,2.964576427413352e-22,3.204937810639273e-15,0.999996025487496,True
79,331,"(3, 1, 0, 2)","(1, -1, 1, 1)",2.578186563268626e-10,89.83846013785839,29.999999999160497,3.1593499292461375e-09,4.632195753186043e-22,6.292134509113702e-15,0.9999960254874958,True
80,36,"(0, 2, 1, 3)","(-1, 1, -1, -1)",-1.2518140120273536e-09,89.83846013771416,-6.8929855471257215e-09,3.1593499405420854e-09,1.6675669251378497e-22,3.215177254652327e-15,0.9999960254874887,True
81,289,"(3, 0, 1, 2)","(-1, -1, -1, 1)",2.9446726756101077e-10,89.83846013768306,29.99999999881622,3.159349943013639e-09,6.670328812955489e-22,3.7177278603415564e-15,0.9999960254874871,True
