variation,lab_axis,run_name,offset_mm,pair_id,nv_axis,nu_left_GHz,nu_right_GHz,splitting_MHz,pair_center_minus_D_eff_MHz,D_eff_GHz,nu_left_MHz,nu_right_MHz,nu0_left_MHz,delta_nu_left_MHz
Variation Along Z,z,6.8cm-0.3mm,-0.3,1,d3,2.8090329123729183,2.93236808069414,123.33516832122184,-0.8610284698820081,2.871561525003411,2809.0329123729184,2932.36808069414,2806.329458277993,2.7034540949252914
Variation Along Z,z,6.8cm-0.3mm,-0.3,2,d2,2.81969957242957,2.922999121423854,103.29954899428408,-0.2121780766994874,2.871561525003411,2819.69957242957,2922.999121423854,2820.707386660703,-1.0078142311331248
Variation Along Z,z,6.8cm-0.3mm,-0.3,3,d4,2.8333121081579007,2.910423076825613,77.1109686677125,0.3060674883457182,2.871561525003411,2833.3121081579006,2910.4230768256134,2831.5561720735172,1.7559360843833929
Variation Along Z,z,6.8cm-0.3mm,-0.3,4,d1,2.843702545350774,2.900954782772522,57.25223742174812,0.7671390582366655,2.871561525003411,2843.702545350774,2900.954782772522,2844.5521652610787,-0.849619910304682
Variation Along Z,z,6.8cm-0.2mm,-0.2,1,d3,2.8096614058239804,2.931717234538436,122.0558287144553,-0.8294333593790171,2.8715187535405877,2809.66140582398,2931.717234538436,2806.329458277993,3.3319475459870773
Variation Along Z,z,6.8cm-0.2mm,-0.2,2,d2,2.8200796509761865,2.922491804734134,102.41215375794744,-0.2330256854268242,2.8715187535405877,2820.0796509761867,2922.491804734134,2820.707386660703,-0.6277356845162103
Variation Along Z,z,6.8cm-0.2mm,-0.2,3,d4,2.8337227995428558,2.9099814517555336,76.25865221267824,0.3333721086073993,2.8715187535405877,2833.7227995428557,2909.9814517555337,2831.5561720735172,2.1666274693384366
Variation Along Z,z,6.8cm-0.2mm,-0.2,4,d1,2.843915571342537,2.9005801096110315,56.66453826849471,0.7290869361966656,2.8715187535405877,2843.9155713425366,2900.5801096110317,2844.5521652610787,-0.6365939185420757
Variation Along Z,z,6.8cm-0.1mm,-0.1,1,d3,2.8102012138820123,2.931156306078756,120.95509219674396,-0.8006849556334572,2.8714794449360177,2810.2012138820123,2931.156306078756,2806.329458277993,3.8717556040191994
Variation Along Z,z,6.8cm-0.1mm,-0.1,2,d2,2.820507313043696,2.922029019173107,101.52170612941092,-0.2112788276162902,2.8714794449360177,2820.507313043696,2922.029019173107,2820.707386660703,-0.20007361700709225
Variation Along Z,z,6.8cm-0.1mm,-0.1,3,d4,2.834091714531889,2.909493771416766,75.40205688487677,0.3132980383098172,2.8714794449360177,2834.091714531889,2909.493771416766,2831.5561720735172,2.535542458371765
Variation Along Z,z,6.8cm-0.1mm,-0.1,4,d1,2.844170594040475,2.9001856273214384,56.015033280963245,0.6986657449390421,2.8714794449360177,2844.170594040475,2900.1856273214385,2844.5521652610787,-0.38157122060374604
